==================================================
Overall performance on the test set:
Precision: 0.7244
Recall: 0.6095
F-beta: 0.6620
==================================================
Evaluating performance on slices of workclass...
precision for workclass = Private: 0.7347
recall for workclass = Private: 0.6010
fbeta for workclass = Private: 0.6612
*****
precision for workclass = Self-emp-not-inc: 0.7586
recall for workclass = Self-emp-not-inc: 0.5605
fbeta for workclass = Self-emp-not-inc: 0.6447
*****
precision for workclass = Self-emp-inc: 0.7596
recall for workclass = Self-emp-inc: 0.7745
fbeta for workclass = Self-emp-inc: 0.7670
*****
precision for workclass = Local-gov: 0.6731
recall for workclass = Local-gov: 0.5785
fbeta for workclass = Local-gov: 0.6222
*****
precision for workclass = ?: 0.5143
recall for workclass = ?: 0.4286
fbeta for workclass = ?: 0.4675
*****
precision for workclass = State-gov: 0.6508
recall for workclass = State-gov: 0.6508
fbeta for workclass = State-gov: 0.6508
*****
precision for workclass = Federal-gov: 0.7429
recall for workclass = Federal-gov: 0.7222
fbeta for workclass = Federal-gov: 0.7324
*****
precision for workclass = Never-worked: 1.0000
recall for workclass = Never-worked: 1.0000
fbeta for workclass = Never-worked: 1.0000
*****
precision for workclass = Without-pay: 1.0000
recall for workclass = Without-pay: 1.0000
fbeta for workclass = Without-pay: 1.0000
*****
==================================================
Evaluating performance on slices of education...
precision for education = Some-college: 0.6916
recall for education = Some-college: 0.5000
fbeta for education = Some-college: 0.5804
*****
precision for education = HS-grad: 0.6188
recall for education = HS-grad: 0.3977
fbeta for education = HS-grad: 0.4842
*****
precision for education = 10th: 1.0000
recall for education = 10th: 0.0000
fbeta for education = 10th: 0.0000
*****
precision for education = 1st-4th: 1.0000
recall for education = 1st-4th: 0.5000
fbeta for education = 1st-4th: 0.6667
*****
precision for education = Bachelors: 0.7392
recall for education = Bachelors: 0.7120
fbeta for education = Bachelors: 0.7254
*****
precision for education = Assoc-acdm: 0.6279
recall for education = Assoc-acdm: 0.6429
fbeta for education = Assoc-acdm: 0.6353
*****
precision for education = Prof-school: 0.8804
recall for education = Prof-school: 0.9419
fbeta for education = Prof-school: 0.9101
*****
precision for education = Doctorate: 0.7246
recall for education = Doctorate: 0.9091
fbeta for education = Doctorate: 0.8065
*****
precision for education = 7th-8th: 1.0000
recall for education = 7th-8th: 0.3333
fbeta for education = 7th-8th: 0.5000
*****
precision for education = Masters: 0.8065
recall for education = Masters: 0.8333
fbeta for education = Masters: 0.8197
*****
precision for education = 11th: 0.8333
recall for education = 11th: 0.2941
fbeta for education = 11th: 0.4348
*****
precision for education = 9th: 1.0000
recall for education = 9th: 0.2500
fbeta for education = 9th: 0.4000
*****
precision for education = Assoc-voc: 0.6538
recall for education = Assoc-voc: 0.4928
fbeta for education = Assoc-voc: 0.5620
*****
precision for education = 5th-6th: 1.0000
recall for education = 5th-6th: 0.0000
fbeta for education = 5th-6th: 0.0000
*****
